doakọnna 	 perservere 	 persévérer
Mawulọmẹ 	 Mawulome or Maulome is an Ogu name given to a male or female child. It means "in God's hand". 	 Mawulome ou Maulome est un nom Ogu donné à un enfant mâle ou femelle. Cela signifie "dans la main de Dieu".
atọ̀n-to-dopomẹ 	 trinity 	 trinité
diọ 	 change 	 changement
afanumẹ 	 slave 	 esclave
agewaji 	 north 	 nord
ahisinọ 	 customer 	 client
amasin lẹ 	 medicines 	 médicaments
vasudo 	 destruction 	 destruction
ayẹyẹ 	 spider 	 araignée
abɔɛ 	 quiet 	 calmer
yọyọ 	 new 	 nouveau
to 	 in , at 	 dans , à
abọ́ 	 shoulder 	 épaule
vọnu 	 free 	 gratuit
abò 	 room 	 chambre
anazọ́n 	 artwork 	 ouvrages d'art
aglọpò lẹ 	 scepters 	 sceptres
Wusu 	 Wusu is an Ogu name given to a male child. It is the name given to a baby who is born in an intact amniotic sac (caul). 	 Wusu est un nom Ogu donné à un enfant de sexe masculin. C'est le nom donné à un bébé qui est mis au monde dans un sac amniotique intact.
agbán 	 plate 	 assiette
agun 	 congregation 	 congrégation
enẹwutu 	 therefore 	 donc
aliglọnnamẹnu lẹ 	 obstacles 	 obstacles
ṣite 	 stand 	 supporter
alà lẹ 	 branches 	 branches
jiya 	 suffer 	 souffrir
awhàn lẹ 	 wars 	 guerres
agọ̀nkẹ 	 coconut 	 noix de coco
akpóe 	 dove 	 colombe
asiṣiọsu lẹ 	 widowers 	 veufs
azẹ̀ 	 paddle 	 pagaie
Agọsu 	 Agosu is an Ogu name given to a male child. It's a name given to a baby whose feet or buttocks are positioned to come out of the vagina first (breech baby). 	 Agosu est un nom Ogu donné à un enfant mâle. C'est un nom donné à un bébé dont les pieds ou les fesses sont positionnés pour sortir du vagin en premier.
aglọpò 	 staff 	 bâton
Midọmitọn 	 Midomiton is an Ogu name given to a male or female child. It means "mind your business". 	 Midomiton est un nom Ogu donné à un enfant mâle ou femelle. Cela signifie "mêlez-vous de vos affaires".
azọ́nvi 	 apprentice 	 apprenti
atọ̀họ̀ lẹ 	 towers 	 tours
afɔsu 	 big toe 	 gros orteil
Jehovah 	 Jehovah 	 Jéhovah
avọ̀ lẹ 	 clothes 	 vêtements
nyǐkɔgbe 	 noun 	 nom
ylando 	 sin 	 péché
bọawu 	 easy 	 facile
kudiho 	 dirty 	 sale
aslọ lẹ 	 clouds 	 nuages
akiza 	 broom 	 balais
akùn lẹ 	 eagles 	 aigles
apoe 	 dove 	 colombe
avọ̀yantọ 	 laundryman 	 blanchisseur
akla 	 biscuit 	 biscuit
asi-tọ́ 	 father-in-law 	 beau père
kakajẹ 	 until 	 jusqu'à
avọ̀ 	 cloth 	 pagne
Viutu 	 Viutu or Viwutu is an Ogu name given to a female child. It means "because of the child". 	 Viutu ou Viwutu est un nom Ogu donné à une enfant de sexe féminin. Cela signifie "à cause de l'enfant".
Alunlunsun 	 January 	 janvier
depope 	 any 	 quelconque
sẹtẹn 	 move 	 bouge
avọsinsan lẹ 	 sacrifices 	 sacrifier
anadenanutọ 	 conductor , administrator   conducteur , administrateur
alùbasa 	 onion 	 oignon
adɔgbigbo 	 courage 	 courage
aglò 	 pouch 	 poche
avihàn 	 dirge 	 funèbre
awàdá lẹ 	 armpits 	 aisselles
hodẹ̀ 	 pray 	 prier
ali 	 road 	 route
gbọjẹ 	 rest 	 du repos
adó 	 wall 	 mur
Afínplọsun 	 February 	 février
agbàwhlẹntọ 	 competitor 	 concurrent
akọ̀ lẹ 	 races 	 course
adidọnọ 	 lazy 	 paresseux
Sẹyidẹ 	 Seyide or Seide is an Ogu name given to a male or female child. It means "God answered my prayer". 	 Seyide ou Seide est un nom Ogu donné à un enfant mâle ou femelle. Cela signifie "Dieu a répondu à ma prière".
alọgọtọ 	 assistant 	 assistant
agbò 	 ram 	 bélier
akọ̀ 	 race 	 race
yuyu 	 black , dark 	 noir , foncé
ayẹyẹ lẹ 	 spiders 	 les araignées
akuẹ 	 money 	 argent
asé 	 cat 	 chat
awọntinslo lẹ 	 nostrils 	 les narines
Jiawu 	 Jiawu is an Ogu name given to a male or female child. It means the Miracle of God. 	 Jiawu est un nom Ogu donné à un enfant mâle ou femelle. Cela signifie le miracle de Dieu.
wezun 	 run 	 cours
afanumẹ lẹ 	 slaves 	 esclaves
agbànhọ lẹ 	 storehouses 	 entrepôts
Amẹlikanu lẹ 	 Americans 	 américains
ao 	 ten 	 dix
ayìví 	 bean 	 haricot
agahomẹ 	 sky 	 ciel
Jiwheyẹwhe 	 God 	 Dieu
abọẹ 	 quiet 	 calmer
amísa 	 church 	 église
adọ̀vi 	 intestine 	 intestin
yé 	 they 	 on , eux
adú lẹ 	 tooth 	 dent
afɔvi 	 toe 	 doigt de pied
tẹnpọn 	 try 	 essayer
agbẹ́pẹ lẹ 	 pawpaws 	 papayes
atọ̀họ̀ 	 tower 	 tour
gbejizọnlin 	 travel 	 voyager
ajotọ 	 thief 	 voleur
aluẹmẹninọ 	 mourning 	 deuil
Sọnayọn 	 Sonayon is an Ogu name given to a male or female. It means the future will be good. 	 Sonayon est un nom Ogu donné à un enfant mâle ou femelle. Cela signifie "l'avenir sera bon".
Aflikanu lẹ 	 africans 	 africains , africaines
agọjẹdomẹtọ 	 opposer 	 opposant
adọ̀go 	 stomach 	 estomac
amiyọn 	 left 	 gauche
alọvi alọkẹ tọn 	 ring finger 	 annulaire
jei 	 going 	 allant
Awewesun 	 December 	 décembre
avún 	 dog 	 chien
apotin lẹ 	 boxes 	 boîtes
alokan 	 telephone 	 téléphone
ahọnkan 	 center 	 centre
agú 	 pounded yam 	 igname pilée
J.W.M 	 BC , BCE 	 BC , BCE
ayimatẹn-gán 	 governor 	 gouverneure
gando 	 about 	 du
ayinamẹ 	 advice 	 conseil
anọ́ lẹ 	 Breasts 	 Seins
awọntinslo 	 nostril 	 narine
atin 	 tree 	 arbre
ahọlu lẹ 	 kings 	 rois
owẹ̀n 	 message 	 message
Amẹlikanu 	 American 	 américain
apoe lẹ 	 doves 	 pigeons
avúnvi 	 puppy 	 chiot
azọ́nkuẹ 	 wage 	 salaire
azọ́nwatọ-owesẹdotẹn tọn lẹ 	 librarians 	 bibliothécaires
atọ̀ntọ 	 third 	 troisième
jai 	 fall 	 tomber
almọndi 	 almond 	 amande
awà 	 wing 	 aile
ṣigba 	 but 	 mais
afọ lẹ 	 legs 	 jambes
alọsu lẹ 	 thumbs 	 pouces
akùn 	 eagle 	 aigle
wiawetọ 	 twelfth 	 douzième
yẹn 	 I , me 	 je , moi
dopo 	 one 	 un
agbanlin lẹ 	 deers 	 cerfs
ọọ 	 ah 	 ah
asuṣiọsi lẹ 	 widows 	 les veuves
ajọwatọ 	 trader 	 commerçant
adọ́ susu 	 urines 	 urine
apotin 	 box 	 boîte
N 	 I 	 je
agbasa lẹ 	 skins 	 peaux
ahimẹ lẹ 	 marketplaces 	 places de marché
adọkun 	 wealth 	 richesse
ajotọ lẹ 	 thieves 	 voleurs
awhàngbigba 	 victory 	 victoire
ayìví lẹ 	 beans 	 haricots
ajọ̀ 	 award 	 prix
avihàn lẹ 	 dirges 	 chant funèbres
awhànfuntọ 	 soldier 	 soldat
awà lẹ 	 wings 	 ailes
zẹẹmẹdo 	 mean 	 signifier
agọjẹdomẹtọ lẹ 	 opposers 	 opposants
afɔgbɔntɛn 	 walkway 	 passerelle
awuhiọnu 	 stench 	 puanteur
wlealọ 	 marry 	 marier
alín 	 hoe 	 houe
azui lẹ 	 rabbits 	 lapins
azọ́nkuẹ lẹ 	 wages 	 salaire
atàn-pàtọ lẹ 	 palm wine tappers 	 saigneurs de vin de palme
yiwanna 	 love , like 	 amour , comme
hù 	 kill 	 tuer
awhànnẹ 	 pigeon 	 pigeon
afuje 	 lung 	 poumon
zan 	 use 	 utiliser
alinpọ́n 	 catarrh 	 catarrhe
alọwle lẹ 	 marriages 	 les mariages
adọ̀ lẹ 	 roots 	 racines
akokoe lẹ 	 bananas 	 bananes
akọ́nnu 	 chest 	 poitrine
viavi 	 cry 	 pleurer
avọ̀kija lẹ 	 rag 	 haillon
adọ̀vi lẹ 	 intestines 	 intestins
jodo 	 leave 	 laisser
Azangaagbe 	 Wednesday 	 mercredi
avúnvi lẹ 	 puppies 	 chiots
adidẹ́ 	 ant 	 fourmi
alọsu 	 thumb 	 pouce
Akuẹmahọ 	 Akuemaho is an Ogu name given to a male or female child. It means money cannot  buy a child. 	 Akuemaho est un nom Ogu donné à un enfant mâle ou femelle. Ça veut dire que l'argent ne peut pas acheter un enfant.
sinsẹ̀n 	 religion 	 religion
alọvi pẹvi lẹ 	 pinkies 	 les auriculaires
gbọnvo 	 different 	 différent
asu-nọ lẹ 	 mother-in-law 	 belle-mère
aotọ 	 tenth 	 dixième
azín 	 peanut 	 arachide
agɔ̀nkɛ 	 coconut 	 noix dé coco
akán 	 charcoal 	 charbon
adadoji 	 toilet 	 toilette
aihundatọ 	 actor 	 acteur
lẹnvọjọ 	 repent 	 regretter
ehelẹ 	 these 	 ceux-ci
atọ́ntọ 	 fifth 	 cinquième
yuu 	 black , dark 	 noir , foncé
afafa lẹ 	 hand fans 	 ventilateurs à main
atẹṣiṣi 	 apostasy 	 apostasie
sè 	 hear 	 entendre
agahun lẹ 	 aeroplanes 	 avions
afuje lẹ 	 lungs 	 poumons
alùbasa lẹ 	 onions 	 oignons
awù 	 coat 	 manteau
akɔta 	 nation 	 nation
adàgbigbo 	 circumcision 	 circoncision
mẹde 	 someone 	 quelqu’un
agbẹ́pẹ 	 pawpaw 	 papaye
amamú 	 green 	 vert
ajinján 	 porcupine 	 porc-épic
aliklan 	 street 	 street
Lọndọnnu 	 Londoner 	 Londonien
hoavùn 	 fight 	 se battre
adí ylankan lẹ 	 poisons 	 poisons
alọvi 	 finger 	 doigt
ahọsi lẹ 	 queens 	 reines
avún lẹ 	 dogs 	 chiens
hia 	 read 	 lire
osọ 	 tomorrow , yesterday 	 demain , hier
ajinján lẹ 	 porcupines 	 porcs-épics
tọ̀wu 	 ambush 	 embuscade
alọhẹndotena 	 ban 	 interdire
atọ̀n 	 three 	 trois
fọ́n 	 wake 	 réveille
sinlìn 	 swimming 	 natation
afọsu lẹ 	 big toes 	 gros orteils
alín lẹ 	 hoes 	 houes
aovi 	 demon 	 démon
dotó 	 listen 	 écouter
angẹli 	 angel 	 ange
asisa lẹ 	 streams 	 ruisseaux
akuẹsẹdotẹn 	 bank 	 banque
avase lẹ 	 warnings 	 avertissements
e 	 he , she , it 	 il , elle
azọ́nwatọ-wesẹdotẹn 	 librarian 	 biblothécaire
tọ́nwhẹ̀n 	 travel 	 voyager
afɔɖayǐtɛn 	 toilet 	 toilette
agbàwhlẹntọ lẹ 	 competitors 	 concurrents
ahọsi 	 queen 	 reine
asi 	 wife 	 épouse
mi 	 me 	 moi
ṣinatọ̀ntọ 	 eighth 	 huitième
hugan-dopo 	 plural 	 pluriel
kùn 	 drive , ride 	 conduire , chevaucher
aliglọnnamẹnu 	 obstacle 	 obstacle
asuṣiọsi 	 widow 	 veuve
adòhọsa 	 kitchen 	 cuisine
amà lẹ 	 leaves 	 feuilles
ayajẹ 	 joy 	 joie
alọnuwe 	 brochure 	 brochure
yetọn 	 their 	 leur
aslọ 	 cloud 	 nuage
awufiẹsa 	 pain 	 douleur
Mawusi 	 Mawusi or Mausi is an Ogu name given to a male or female child. It means "I am in God's hand". 	 Mawusi ou Mausi est un nom Ogu donné à un enfant mâle ou femelle. Cela signifie "Je suis entre les mains de Dieu".
adọ́zan lẹ 	 beds 	 des lits
dowéna 	 manage 	 faire en sorte
awọ̀yinu 	 shield 	 bouclier
aliplitẹ̀n 	 crossroad 	 carrefour
ṣẹnṣẹn 	 between , middle , 	 entre , milieu
avọ̀kija 	 rag 	 haillon
lẹzun 	 become 	 devenir
agbasa 	 skin 	 peau
afinyọnnuwatọ 	 mediumship 	 médiumnité
asi-tọ́ lẹ 	 father-in-laws 	 beau-père
dawhá 	 shout 	 crier
amísa lẹ 	 churches 	 églises
Naijilianu 	 Nigerian 	 nigérian
azọ́nwatọ lẹ 	 workers 	 l' ouvriers
alọgọtọ lẹ 	 helpers 	 aides
aluẹmẹ 	 mourn 	 deuil
azọ̀n lẹ 	 sicknesses 	 maladies
abò lẹ 	 rooms 	 pièces
Avivọsun 	 August 	 Août
aglò lẹ 	 pouches 	 pochettes
ahlínhán 	 peacock 	 paon
abɔ́ 	 shoulder 	 épaule
aigba 	 earth 	 terre
ahoho 	 twins 	 double
sinsẹ̀n-bibasi 	 worship 	 vénération
adó lẹ 	 walls 	 murs
adí 	 soap 	 savon
afafa 	 hand fan 	 éventail
aiví lẹ 	 beans 	 des haricots
aklasu lẹ 	 vultures 	 vautours
wewe 	 white 	 blanc
ahún 	 heart 	 cœur
dite 	 tall 	 haut
Misimawu 	 Misimawu or Misimau is an Ogu name given to a male or female child. It means "to respect God". 	 Misimawu ou Misimau est un nom Ogu donné à un enfant mâle ou femelle. Cela signifie "respecter Dieu".
amì-vẹẹ susu 	 palm oil 	 huile de palme
awutu-súnsúnnu lẹ 	 towels 	 les serviettes
Ayidosun 	 June 	 juin
alọvi alokẹ tọn lẹ 	 ring fingers 	 annulaire
apajlẹ 	 example 	 exemple
payido 	 sorry 	 pardon
amì-vẹẹ 	 palm oil 	 huile de palme
asisa 	 stream 	 ruisseau
azò lẹ 	 horns 	 œufs
ahì 	 market 	 marché
ewọ 	 he , she , it 	 il , elle
ajalẹn lẹ 	 harps 	 harpes
ẹnẹtọ 	 fourth 	 quatrième
agbàwhlẹn 	 competing 	 Concurrence
hẹnnu 	 hold 	 tenir
lunwán 	 smell 	 sentir
kú 	 die , died , dead 	 mourir , mort
tintan 	 first 	 premier
Yọnnuzangbe 	 Thursday 	 jeudi
ayọ́ 	 vagina 	 vagin
agànma 	 chameleon 	 caméléon
ahoho lẹ 	 twins 	 Jumeaux
anadenanutọ lẹ 	 conductors , administrators 	 conducteurs , administrateurs
niṣẹ 	 amen 	 amen
anọ́bẹ́nu lẹ 	 bra 	 soutien-gorge
abọ́ lẹ 	 shoulders 	 épaules épaules
Kọ́yànsun 	 October 	 octobre
agbò lẹ 	 rams 	 béliers
kanse 	 ask 	 demander
dolalo 	 lie 	 mensonge
ṣie 	 my 	 mon
azọ́nwanu lẹ 	 tools 	 outils
ahì lẹ 	 markets 	 marchés
agbà 	 altar 	 autel
azọ́nwanu 	 tool 	 outil
akọta lẹ 	 nations 	 nations
afọnnu 	 morning 	 matin
awutu 	 sickness 	 maladie
akla madotọ́n 	 unleavened bread 	 pain sans levain
azìn 	 egg 	 oeuf
aovi lẹ 	 demons 	 dêmons
klọ 	 deceive 	 tromper
fin 	 steal 	 voler
amasin 	 medication 	 Médicament
awutu-súnsúnnu 	 towel 	 serviette
azò 	 horn 	 corne
whlẹnagbà 	 compete 	 rivaliser
azín lẹ 	 peanuts 	 arachides
mítọn 	 our 	 notre
enẹ 	 that 	 cela
omú 	 mosquito 	 moustique
afọnnu lẹ 	 mornings 	 matin
wọn 	 forget 	 oubliez
agun lẹ 	 congregations 	 congrégations
afɔ 	 leg 	 jambe
anọ́ 	 breast 	 sein
wá 	 come 	 vien
apajlẹ lẹ 	 examples 	 exemple
ahun 	 dew 	 rosée
aigbanọ lẹ 	 landowners 	 propriétaires fonciers
avlán sisọ lẹ 	 roasted plantains 	 plantains frits
aigbanọ 	 landowner 	 propriétaires
asiọvi 	 axe 	 hache
azọ́nwhé 	 company 	 enterprise
aliklan lẹ 	 streets 	 rues
ayọ̀npọ́n 	 gum 	 gencives
atọ́n 	 five 	 cinq
ayánmà 	 dandruff 	 pellicule
juju 	 blue 	 bleu
Nuwhàsun 	 May 	 mai
etẹ 	 what 	 quoi
sinyẹn 	 hard 	 dur
ahànnumunọ 	 drunkard 	 ivrogne
Papilus 	 papyrus 	 papyrus
madopodo 	 endless 	 sans fin
alọpáhomẹ lẹ 	 palms 	 palmiers
azui 	 rabbit 	 lapin
setonu 	 obey 	 obéir
alipá 	 street 	 street
azọ́nwatọ 	 worker 	 ouvrier
ahọnkan lẹ 	 centers 	 centres
afɔzéɖayǐtɔ 	 ambassador 	 ambassadeur
ylankan 	 bad 	 mal
zinzọnlin 	 walk 	 marcher
gbigbọnọ 	 spiritual 	 spirituel
ayọ̀n lẹ 	 corals 	 corail
Egipti 	 Egypt 	 Egypte
súnsún 	 clean 	 nettoyer
ehe 	 this 	 ceci
asu-nọ̀ 	 mother-in-law 	 belle-mère
ahwànfuntɔ 	 soldier 	 soldat
aklekle 	 scorpion 	 scorpion
aklekle lẹ 	 scorpions 	 scorpions
yọpọ 	 young 	 jeune
ṣo 	 alas 	 alors
enẹgodo 	 then 	 puis
asiṣiọsu 	 widower 	 veuf
ahwàngbigba 	 victory 	 victoire
akokoe 	 banana 	 banane
dẹdẹ 	 slowly 	 doucement
agbasalilo 	 healthy 	 sain
alọvi adusi tọn 	 index finger 	 index
avọ̀yantọ lẹ 	 laundrymen 	 blanchisseurs
adidẹ́ lẹ 	 ants 	 fourmis
ajọ́ 	 trade 	 commerce
Biblu 	 Bible 	 Bible
dugbẹ 	 enjoy 	 profitez
alọvi adusi tọn lẹ 	 index fingers 	 index
widopotọ 	 eleventh 	 onzième
adɔkun 	 wealth 	 richesse
ajankusu lẹ 	 owls 	 hibou
pọn 	 look 	 voir
ofún 	 feather 	 plume
jihàn 	 sing 	 chanter
agànma lẹ 	 chameleons 	 les caméléon
Sẹlọmẹ 	 Selome is an Ogu name given to a male or female child. It means "in God's hand". 	 Selome est un nom Ogu donné à un enfant mâle ou femelle. Cela signifie "dans la main de Dieu".
apọsteli 	 apostle 	 apôtre
agbanlin 	 deer 	 cerf
Pẹdepo 	 Pedepo is an Ogu name given to a male or female child. It means "if there is a need to thank anyone then let's thank God". 	 Pedepo est un nom Ogu donné à un enfant mâle ou femelle. Cela signifie "s'il est nécessaire de remercier quelqu'un, alors remercions Dieu".
adọ́zan 	 bed 	 lit
kudlọ 	 dream 	 rêver
ahún lẹ 	 hearts 	 choeur
dúwe 	 dance 	 danse
azọ́njiawu lẹ 	 miracles 	 miracles
Klistiani lẹ 	 christians 	 les chrétiens
atàn-pàtọ 	 palm wine tapper 	 tireur de vin de palme
ayimatẹn 	 state , province 	 etat , province
azọ̀n 	 sickness 	 maladie
dámlọn 	 sleep 	 Dormir
akọta 	 nation 	 nation
awuhiọnu lẹ 	 stenches 	 puanteurs
ajankusu 	 owl 	 hibou
azìn lẹ 	 eggs 	 œufs
ayi lẹ 	 kidneys 	 reins
Etẹwẹnwa 	 Etewenwa or Etenwa is an Ogu name given to a male or female child. It means "What have I done?". 	 Etewenwa ou Etenwa est un nom Ogu donné à un enfant mâle ou femelle. Cela signifie "Qu'ai-je fait ?".
asé lẹ 	 cats 	 chats
dagbe 	 good 	 bien
yì 	 go , goes , went , gone 	 aller
akòtopẹ́ 	 catapult 	 catapulte
anọ́sin susu 	 breast milk 	 lait maternel
odò 	 down 	 vers le bas
dùnú 	 eat 	 mange
todido 	 hope 	 espérer
aliho 	 lane 	 voie
alọ lẹ 	 hands 	 mains
fọnsọnku 	 resurrect 	 ressusciter
ahisinọ lẹ 	 customers 	 clients
ahimẹ 	 marketplace 	 marché
mẹlẹpo 	 everybody 	 tout le monde
sọn 	 from 	 dès
damlọn 	 sleep 	 dormir
afintin 	 locust bean 	 caroubess
ahlínhán lẹ 	 peacocks 	 paons
tonuɖiɖɔ 	 politics 	 politique
asia lẹ 	 flags 	 drapeaux
ayú lẹ 	 leathers 	 cuirs
adí lẹ 	 soap 	 savons
sènu 	 hear 	 écouter
anọ́sin 	 milk 	 lait
sẹkunọ 	 lame 	 boiteux
almọndi lẹ 	 almonds 	 amandes
adọgbigbo 	 courage 	 courage
awhànfuntọ lẹ 	 soldiers 	 soldats
awọntin lẹ 	 noses 	 nez
wẹ́n 	 break 	 casser
eyin 	 if 	 si
jona 	 forgive 	 pardonner
kẹalọyi 	 accept 	 accepter
alọkẹ 	 ring 	 bague
alọvi pẹvi 	 pinkie 	 auriculaire
Sẹnami 	 Senami is an Ogu name given to a male or female child. It means God's gift. 	 Senami est un nom Ogu donné à un enfant mâle ou femelle. Cela signifie le don de Dieu.
azọ́nvi lẹ 	 apprentices 	 apprentis
awhànnẹ lẹ 	 pigeons 	 pigeons
sinai 	 sit 	 asseoir
aṣa 	 culture 	 culture
Klistiani 	 Christian 	 chrétien
akọgbè 	 dialect 	 dialecte
adọ́ 	 urine 	 urine
afọvi 	 toe 	 doigt de pied
afọ 	 leg 	 jambe
akòtopẹ́ lẹ 	 catapults 	 catapultes
afọzedaitọ 	 ambassador 	 ambassadeur
ahọsu 	 revenge 	 vengeance
mí 	 we 	 nous
dotuhomẹmamẹ 	 urge , exhort , implore , counsel . 	 Presser , exhorter , implorer , conseil
azọ́nyọnẹntọ 	 expert 	 experte
afọpa 	 footwear 	 chaussure
adọkun lẹ 	 wealths 	 richesses
Lidosun 	 April 	 avril
apà 	 wound 	 blesser
Heblu-gbe 	 Hebrew 	 Hebrew
wiẹnẹtọ 	 fourteenth 	 quatorzième
Benẹ 	 Benin 	 Bénin
aihundatọ lẹ 	 actors 	 acteurs
adusi 	 right 	 droite
alọtlọ 	 lizard 	 lézard
afọsu 	 big toe 	 gros orteil
mẹho 	 old 	 vieux
afọdaitẹn 	 toilet 	 toilette
Sibigbe 	 Saturday 	 samedi
awetọ 	 second 	 second
adadoji lẹ 	 toilets 	 toilettes
enẹlẹ 	 those 	 ces
dopà 	 promise 	 promesse
ayẹyẹ-dọ́ 	 spiderweb , cobweb 	 toile d'araignée , araignée
gbọjọ 	 weak 	 faible
agbàwhinwhlẹn lẹ 	 competitions 	 compétitions
Tẹnigbe 	 Monday 	 lundi
aki 	 ark 	 arche
tafu 	 cheat 	 tricher
towe 	 your 	 ton
avase 	 warning 	 avertissement
ayò 	 garlic 	 ail
zlọn 	 fly 	 mouche
Egiptinu 	 Egyptian 	 égytien
ovọ́ 	 empty 	 vide
ojé 	 oh 	 oh
asiyọyọ lẹ 	 brides 	 mariées
agọ̀nkẹ lẹ 	 coconuts 	 noix de coco
azán 	 day 	 jour
adà 	 paragraph 	 paragraphe
Kuwakanu 	 Kuwakanu is an Ogu name given to a male child. It means that death is cruel. 	 Kuwakanu est un nom Ogu donné à un enfant mâle. Cela signifie que la mort est cruelle.
alọwle 	 marriage 	 mariage
ayọ̀n 	 coral 	 corail
adòhọsa lẹ 	 kitchens 	 cuisines
agasá lẹ 	 crabs 	 crabes
avlán sisọ 	 roasted plantain 	 plantain frit
asia 	 flag 	 drapeau
klan 	 separate 	 séparé
Oguzangbe 	 Tuesday 	 mardi
angẹli lẹ 	 angels 	 anges
asu lẹ 	 husbands 	 maris
adọ̀go lẹ 	 stomachs 	 estomacs
kavi 	 or 	 ou
dotoai 	 listen 	 écouter
asiyọyọ 	 bride 	 mariée
adí ylankan 	 poison 	 poison
dọhó 	 talk , speak 	 parler
afọpa lẹ 	 footwears 	 chaussures
alipá lẹ 	 streets 	 rues
alọvi lẹ 	 fingers 	 doigts
afintin lẹ 	 locust beans 	 caroubes
atin-sinsẹ́n lẹ 	 fruits 	 fruits
awufiẹsa lẹ 	 pains 	 douleurs
azẹ̀ lẹ 	 paddles 	 pagaies
W.M 	 CE , AD 	 CE , AD
afinnyɔnuwatɔ 	 mediumship 	 médiumnité
deji 	 trust 	 confiance
anọ́sin mimlin 	 cheese 	 fromage
agbasalan lẹ 	 fleshes 	 chair
akọhiho 	 gambling 	 jeux d'argent
ahànnutọ 	 drunkard 	 ivrogne
akuẹsẹdotẹn lẹ 	 banks 	 banques
Benẹnu 	 Beninese 	 Béninois
vẹawu 	 difficut 	 difficile
awàdá 	 armpit 	 aisselle
dọ 	 tell , tells , told , telling , say , says , said , saying 	 raconter , dit , dire , dicton
agbasalan 	 flesh 	 chair
asi lẹ 	 wives 	 épouses
pẹvi 	 small 	 petit
nude 	 something 	 quelque chose
ṣejannabi 	 selfish 	 égoïste
ajogàn 	 cymbal 	 cymbale
hiẹ 	 you 	 tu
ṣinẹnẹtọ 	 ninth 	 neuvième
aiví 	 bean 	 haricot
Alamaiki-gbe 	 Aramaic 	 araméen
aliho lẹ 	 lanes 	 voies
alọpáhomẹ 	 palm 	 paume
agbán lẹ 	 plates 	 plaques
azọ́nwhé lẹ 	 companies 	 entreprises
azọ́nyọnẹntọ lẹ 	 experts 	 experts , expertes
atin-sinsẹ́n 	 fruit 	 fruit
avọsinsan 	 sacrifice 	 sacrifice
ajijimẹ 	 suddenly 	 tout à coup
